id,description,name,type
254,Num. occurrences of 'call',call,numeric
255,Num. occurrences of 'cambridg',cambridg,numeric
256,Num. occurrences of 'came',came,numeric
257,Num. occurrences of 'camera',camera,numeric
258,Num. occurrences of 'camerareadi',camerareadi,numeric
259,Num. occurrences of 'campu',campu,numeric
260,Num. occurrences of 'canada',canada,numeric
261,Num. occurrences of 'canadian',canadian,numeric
262,Num. occurrences of 'candid',candid,numeric
263,Num. occurrences of 'cant',cant,numeric
264,Num. occurrences of 'capabl',capabl,numeric
265,Num. occurrences of 'capit',capit,numeric
266,Num. occurrences of 'capitalfm',capitalfm,numeric
267,Num. occurrences of 'car',car,numeric
268,Num. occurrences of 'card',card,numeric
269,Num. occurrences of 'care',care,numeric
270,Num. occurrences of 'carnegi',carnegi,numeric
271,Num. occurrences of 'carri',carri,numeric
272,Num. occurrences of 'case',case,numeric
273,Num. occurrences of 'cash',cash,numeric
274,Num. occurrences of 'catalogu',catalogu,numeric
275,Num. occurrences of 'categori',categori,numeric
276,Num. occurrences of 'caus',caus,numeric
277,Num. occurrences of 'cc',cc,numeric
278,Num. occurrences of 'cd',cd,numeric
279,Num. occurrences of 'cdrom',cdrom,numeric
280,Num. occurrences of 'ce',ce,numeric
281,Num. occurrences of 'celebr',celebr,numeric
282,Num. occurrences of 'center',center,numeric
283,Num. occurrences of 'centr',centr,numeric
284,Num. occurrences of 'central',central,numeric
285,Num. occurrences of 'centuri',centuri,numeric
286,Num. occurrences of 'certain',certain,numeric
287,Num. occurrences of 'certainli',certainli,numeric
288,Num. occurrences of 'cf',cf,numeric
289,Num. occurrences of 'ch',ch,numeric
290,Num. occurrences of 'chain',chain,numeric
291,Num. occurrences of 'chair',chair,numeric
292,Num. occurrences of 'challeng',challeng,numeric
293,Num. occurrences of 'chanc',chanc,numeric
294,Num. occurrences of 'chang',chang,numeric
295,Num. occurrences of 'chapter',chapter,numeric
296,Num. occurrences of 'charact',charact,numeric
297,Num. occurrences of 'character',character,numeric
298,Num. occurrences of 'characterist',characterist,numeric
299,Num. occurrences of 'charg',charg,numeric
300,Num. occurrences of 'charl',charl,numeric
301,Num. occurrences of 'check',check,numeric
302,Num. occurrences of 'cheng',cheng,numeric
303,Num. occurrences of 'chequ',chequ,numeric
304,Num. occurrences of 'chicago',chicago,numeric
305,Num. occurrences of 'child',child,numeric
306,Num. occurrences of 'children',children,numeric
307,Num. occurrences of 'china',china,numeric
308,Num. occurrences of 'chines',chines,numeric
309,Num. occurrences of 'choic',choic,numeric
310,Num. occurrences of 'chomski',chomski,numeric
311,Num. occurrences of 'choos',choos,numeric
312,Num. occurrences of 'chri',chri,numeric
313,Num. occurrences of 'christian',christian,numeric
314,Num. occurrences of 'christoph',christoph,numeric
315,Num. occurrences of 'ci',ci,numeric
316,Num. occurrences of 'circular',circular,numeric
317,Num. occurrences of 'citat',citat,numeric
318,Num. occurrences of 'cite',cite,numeric
319,Num. occurrences of 'citi',citi,numeric
320,Num. occurrences of 'cl',cl,numeric
321,Num. occurrences of 'claim',claim,numeric
322,Num. occurrences of 'class',class,numeric
323,Num. occurrences of 'classic',classic,numeric
324,Num. occurrences of 'classif',classif,numeric
325,Num. occurrences of 'classifi',classifi,numeric
326,Num. occurrences of 'classroom',classroom,numeric
327,Num. occurrences of 'claus',claus,numeric
328,Num. occurrences of 'clear',clear,numeric
329,Num. occurrences of 'clearli',clearli,numeric
330,Num. occurrences of 'click',click,numeric
331,Num. occurrences of 'clitic',clitic,numeric
332,Num. occurrences of 'close',close,numeric
333,Num. occurrences of 'cloth',cloth,numeric
334,Num. occurrences of 'club',club,numeric
335,Num. occurrences of 'cluster',cluster,numeric
336,Num. occurrences of 'cm',cm,numeric
337,Num. occurrences of 'cnr',cnr,numeric
338,Num. occurrences of 'co',co,numeric
339,Num. occurrences of 'code',code,numeric
340,Num. occurrences of 'coffe',coffe,numeric
341,Num. occurrences of 'cog',cog,numeric
342,Num. occurrences of 'cognit',cognit,numeric
343,Num. occurrences of 'cogsci',cogsci,numeric
344,Num. occurrences of 'cole',cole,numeric
345,Num. occurrences of 'collabor',collabor,numeric
346,Num. occurrences of 'colleagu',colleagu,numeric
347,Num. occurrences of 'collect',collect,numeric
348,Num. occurrences of 'colleg',colleg,numeric
349,Num. occurrences of 'colloquium',colloquium,numeric
350,Num. occurrences of 'color',color,numeric
351,Num. occurrences of 'columbia',columbia,numeric
352,Num. occurrences of 'com',com,numeric
353,Num. occurrences of 'combin',combin,numeric
354,Num. occurrences of 'come',come,numeric
355,Num. occurrences of 'command',command,numeric
356,Num. occurrences of 'comment',comment,numeric
357,Num. occurrences of 'commerci',commerci,numeric
358,Num. occurrences of 'committe',committe,numeric
359,Num. occurrences of 'common',common,numeric
360,Num. occurrences of 'commun',commun,numeric
361,Num. occurrences of 'compani',compani,numeric
362,Num. occurrences of 'compar',compar,numeric
363,Num. occurrences of 'comparison',comparison,numeric
364,Num. occurrences of 'compat',compat,numeric
365,Num. occurrences of 'compet',compet,numeric
366,Num. occurrences of 'competit',competit,numeric
367,Num. occurrences of 'compil',compil,numeric
368,Num. occurrences of 'complement',complement,numeric
369,Num. occurrences of 'complet',complet,numeric
370,Num. occurrences of 'complex',complex,numeric
371,Num. occurrences of 'compon',compon,numeric
372,Num. occurrences of 'composit',composit,numeric
373,Num. occurrences of 'compound',compound,numeric
374,Num. occurrences of 'comprehens',comprehens,numeric
375,Num. occurrences of 'compuserv',compuserv,numeric
376,Num. occurrences of 'comput',comput,numeric
377,Num. occurrences of 'concept',concept,numeric
378,Num. occurrences of 'conceptu',conceptu,numeric
379,Num. occurrences of 'concern',concern,numeric
380,Num. occurrences of 'conclud',conclud,numeric
381,Num. occurrences of 'conclus',conclus,numeric
382,Num. occurrences of 'condit',condit,numeric
383,Num. occurrences of 'confer',confer,numeric
384,Num. occurrences of 'confirm',confirm,numeric
385,Num. occurrences of 'conflict',conflict,numeric
386,Num. occurrences of 'congress',congress,numeric
387,Num. occurrences of 'conjunct',conjunct,numeric
388,Num. occurrences of 'connect',connect,numeric
389,Num. occurrences of 'consequ',consequ,numeric
390,Num. occurrences of 'consid',consid,numeric
391,Num. occurrences of 'consider',consider,numeric
392,Num. occurrences of 'consist',consist,numeric
393,Num. occurrences of 'conson',conson,numeric
394,Num. occurrences of 'constitu',constitu,numeric
395,Num. occurrences of 'constitut',constitut,numeric
396,Num. occurrences of 'constraint',constraint,numeric
397,Num. occurrences of 'construct',construct,numeric
398,Num. occurrences of 'consult',consult,numeric
399,Num. occurrences of 'contact',contact,numeric
400,Num. occurrences of 'contain',contain,numeric
401,Num. occurrences of 'contemporari',contemporari,numeric
402,Num. occurrences of 'content',content,numeric
403,Num. occurrences of 'context',context,numeric
404,Num. occurrences of 'continu',continu,numeric
405,Num. occurrences of 'contrast',contrast,numeric
406,Num. occurrences of 'contribut',contribut,numeric
407,Num. occurrences of 'contributor',contributor,numeric
408,Num. occurrences of 'control',control,numeric
409,Num. occurrences of 'convent',convent,numeric
410,Num. occurrences of 'convers',convers,numeric
411,Num. occurrences of 'cooper',cooper,numeric
412,Num. occurrences of 'coordin',coordin,numeric
413,Num. occurrences of 'copi',copi,numeric
414,Num. occurrences of 'cornel',cornel,numeric
415,Num. occurrences of 'corpor',corpor,numeric
416,Num. occurrences of 'corpora',corpora,numeric
417,Num. occurrences of 'corpu',corpu,numeric
418,Num. occurrences of 'correct',correct,numeric
419,Num. occurrences of 'correl',correl,numeric
420,Num. occurrences of 'correspond',correspond,numeric
421,Num. occurrences of 'cost',cost,numeric
422,Num. occurrences of 'could',could,numeric
423,Num. occurrences of 'count',count,numeric
424,Num. occurrences of 'countri',countri,numeric
425,Num. occurrences of 'coupl',coupl,numeric
426,Num. occurrences of 'cours',cours,numeric
427,Num. occurrences of 'court',court,numeric
428,Num. occurrences of 'cover',cover,numeric
429,Num. occurrences of 'creat',creat,numeric
430,Num. occurrences of 'credit',credit,numeric
431,Num. occurrences of 'creol',creol,numeric
432,Num. occurrences of 'criteria',criteria,numeric
433,Num. occurrences of 'critic',critic,numeric
434,Num. occurrences of 'cross',cross,numeric
435,Num. occurrences of 'crosslinguist',crosslinguist,numeric
436,Num. occurrences of 'crucial',crucial,numeric
437,Num. occurrences of 'cs',cs,numeric
438,Num. occurrences of 'cultur',cultur,numeric
439,Num. occurrences of 'cuni',cuni,numeric
440,Num. occurrences of 'currenc',currenc,numeric
441,Num. occurrences of 'current',current,numeric
442,Num. occurrences of 'curriculum',curriculum,numeric
443,Num. occurrences of 'custom',custom,numeric
444,Num. occurrences of 'cut',cut,numeric
445,Num. occurrences of 'cv',cv,numeric
446,Num. occurrences of 'czech',czech,numeric
447,Num. occurrences of 'da',da,numeric
448,Num. occurrences of 'daili',daili,numeric
449,Num. occurrences of 'dan',dan,numeric
450,Num. occurrences of 'daniel',daniel,numeric
451,Num. occurrences of 'data',data,numeric
452,Num. occurrences of 'databas',databas,numeric
453,Num. occurrences of 'date',date,numeric
454,Num. occurrences of 'davi',davi,numeric
455,Num. occurrences of 'david',david,numeric
456,Num. occurrences of 'day',day,numeric
457,Num. occurrences of 'dc',dc,numeric
458,Num. occurrences of 'de',de,numeric
459,Num. occurrences of 'deadlin',deadlin,numeric
460,Num. occurrences of 'deaf',deaf,numeric
461,Num. occurrences of 'deal',deal,numeric
462,Num. occurrences of 'dear',dear,numeric
463,Num. occurrences of 'debat',debat,numeric
464,Num. occurrences of 'deborah',deborah,numeric
465,Num. occurrences of 'debt',debt,numeric
466,Num. occurrences of 'decemb',decemb,numeric
467,Num. occurrences of 'decid',decid,numeric
468,Num. occurrences of 'decis',decis,numeric
469,Num. occurrences of 'deduct',deduct,numeric
470,Num. occurrences of 'defin',defin,numeric
471,Num. occurrences of 'definit',definit,numeric
472,Num. occurrences of 'degre',degre,numeric
473,Num. occurrences of 'degruyt',degruyt,numeric
474,Num. occurrences of 'del',del,numeric
475,Num. occurrences of 'delet',delet,numeric
476,Num. occurrences of 'deliv',deliv,numeric
477,Num. occurrences of 'deliveri',deliveri,numeric
478,Num. occurrences of 'demand',demand,numeric
479,Num. occurrences of 'demo',demo,numeric
480,Num. occurrences of 'demonstr',demonstr,numeric
481,Num. occurrences of 'den',den,numeric
482,Num. occurrences of 'depart',depart,numeric
483,Num. occurrences of 'depend',depend,numeric
484,Num. occurrences of 'dept',dept,numeric
485,Num. occurrences of 'der',der,numeric
486,Num. occurrences of 'deriv',deriv,numeric
487,Num. occurrences of 'describ',describ,numeric
488,Num. occurrences of 'descript',descript,numeric
489,Num. occurrences of 'design',design,numeric
490,Num. occurrences of 'desir',desir,numeric
491,Num. occurrences of 'detail',detail,numeric
492,Num. occurrences of 'determin',determin,numeric
493,Num. occurrences of 'develop',develop,numeric
494,Num. occurrences of 'devot',devot,numeric
495,Num. occurrences of 'dfki',dfki,numeric
496,Num. occurrences of 'dfl',dfl,numeric
497,Num. occurrences of 'di',di,numeric
498,Num. occurrences of 'diachron',diachron,numeric
499,Num. occurrences of 'diagram',diagram,numeric
500,Num. occurrences of 'dialect',dialect,numeric
501,Num. occurrences of 'dialogu',dialogu,numeric
502,Num. occurrences of 'dictionari',dictionari,numeric
503,Num. occurrences of 'die',die,numeric
504,Num. occurrences of 'diego',diego,numeric
505,Num. occurrences of 'differ',differ,numeric
506,Num. occurrences of 'difficult',difficult,numeric
507,Num. occurrences of 'digit',digit,numeric
508,Num. occurrences of 'dinner',dinner,numeric
509,Num. occurrences of 'direct',direct,numeric
510,Num. occurrences of 'directli',directli,numeric
511,Num. occurrences of 'director',director,numeric
512,Num. occurrences of 'directori',directori,numeric
513,Num. occurrences of 'disciplin',disciplin,numeric
514,Num. occurrences of 'discount',discount,numeric
515,Num. occurrences of 'discours',discours,numeric
516,Num. occurrences of 'discov',discov,numeric
517,Num. occurrences of 'discoveri',discoveri,numeric
518,Num. occurrences of 'discuss',discuss,numeric
519,Num. occurrences of 'disk',disk,numeric
520,Num. occurrences of 'display',display,numeric
521,Num. occurrences of 'dissert',dissert,numeric
522,Num. occurrences of 'distanc',distanc,numeric
523,Num. occurrences of 'distinct',distinct,numeric
524,Num. occurrences of 'distinguish',distinguish,numeric
525,Num. occurrences of 'distribut',distribut,numeric
526,Num. occurrences of 'divers',divers,numeric
527,Num. occurrences of 'divis',divis,numeric
528,Num. occurrences of 'dm',dm,numeric
529,Num. occurrences of 'doctor',doctor,numeric
530,Num. occurrences of 'document',document,numeric
531,Num. occurrences of 'doe',doe,numeric
532,Num. occurrences of 'dollar',dollar,numeric
533,Num. occurrences of 'domain',domain,numeric
534,Num. occurrences of 'domin',domin,numeric
535,Num. occurrences of 'done',done,numeric
536,Num. occurrences of 'doubl',doubl,numeric
537,Num. occurrences of 'doubt',doubt,numeric
538,Num. occurrences of 'download',download,numeric
539,Num. occurrences of 'dr',dr,numeric
540,Num. occurrences of 'draft',draft,numeric
541,Num. occurrences of 'draw',draw,numeric
542,Num. occurrences of 'dream',dream,numeric
543,Num. occurrences of 'drive',drive,numeric
544,Num. occurrences of 'drop',drop,numeric
545,Num. occurrences of 'du',du,numeric
546,Num. occurrences of 'due',due,numeric
547,Num. occurrences of 'duplic',duplic,numeric
548,Num. occurrences of 'dure',dure,numeric
549,Num. occurrences of 'dutch',dutch,numeric
550,Num. occurrences of 'dynam',dynam,numeric
551,Num. occurrences of 'earli',earli,numeric
552,Num. occurrences of 'earlier',earlier,numeric
553,Num. occurrences of 'earn',earn,numeric
554,Num. occurrences of 'easi',easi,numeric
555,Num. occurrences of 'easier',easier,numeric
556,Num. occurrences of 'easili',easili,numeric
557,Num. occurrences of 'east',east,numeric
558,Num. occurrences of 'eastern',eastern,numeric
559,Num. occurrences of 'ecai98',ecai98,numeric
560,Num. occurrences of 'econom',econom,numeric
561,Num. occurrences of 'economi',economi,numeric
562,Num. occurrences of 'ed',ed,numeric
563,Num. occurrences of 'edinburgh',edinburgh,numeric
564,Num. occurrences of 'edit',edit,numeric
565,Num. occurrences of 'editor',editor,numeric
566,Num. occurrences of 'editori',editori,numeric
567,Num. occurrences of 'edu',edu,numeric
568,Num. occurrences of 'educ',educ,numeric
569,Num. occurrences of 'edward',edward,numeric
570,Num. occurrences of 'effect',effect,numeric
571,Num. occurrences of 'effort',effort,numeric
572,Num. occurrences of 'ein',ein,numeric
573,Num. occurrences of 'either',either,numeric
574,Num. occurrences of 'el',el,numeric
575,Num. occurrences of 'electron',electron,numeric
576,Num. occurrences of 'element',element,numeric
577,Num. occurrences of 'elimin',elimin,numeric
578,Num. occurrences of 'elizabeth',elizabeth,numeric
579,Num. occurrences of 'elra',elra,numeric
580,Num. occurrences of 'els',els,numeric
581,Num. occurrences of 'elsewher',elsewher,numeric
582,Num. occurrences of 'email',email,numeric
583,Num. occurrences of 'embed',embed,numeric
584,Num. occurrences of 'emerg',emerg,numeric
585,Num. occurrences of 'emphasi',emphasi,numeric
586,Num. occurrences of 'empir',empir,numeric
587,Num. occurrences of 'employ',employ,numeric
588,Num. occurrences of 'en',en,numeric
589,Num. occurrences of 'enabl',enabl,numeric
590,Num. occurrences of 'enclos',enclos,numeric
591,Num. occurrences of 'encod',encod,numeric
592,Num. occurrences of 'encourag',encourag,numeric
593,Num. occurrences of 'end',end,numeric
594,Num. occurrences of 'endang',endang,numeric
595,Num. occurrences of 'engin',engin,numeric
596,Num. occurrences of 'england',england,numeric
597,Num. occurrences of 'english',english,numeric
598,Num. occurrences of 'enjoy',enjoy,numeric
599,Num. occurrences of 'enough',enough,numeric
600,Num. occurrences of 'enquiri',enquiri,numeric
601,Num. occurrences of 'enter',enter,numeric
602,Num. occurrences of 'enterpris',enterpris,numeric
603,Num. occurrences of 'entir',entir,numeric
604,Num. occurrences of 'entri',entri,numeric
605,Num. occurrences of 'envelop',envelop,numeric
606,Num. occurrences of 'environ',environ,numeric
607,Num. occurrences of 'equal',equal,numeric
608,Num. occurrences of 'equip',equip,numeric
609,Num. occurrences of 'equival',equival,numeric
610,Num. occurrences of 'eric',eric,numeric
611,Num. occurrences of 'error',error,numeric
612,Num. occurrences of 'es',es,numeric
613,Num. occurrences of 'eskimo',eskimo,numeric
614,Num. occurrences of 'especi',especi,numeric
615,Num. occurrences of 'essay',essay,numeric
616,Num. occurrences of 'essenti',essenti,numeric
617,Num. occurrences of 'essex',essex,numeric
618,Num. occurrences of 'esslli',esslli,numeric
619,Num. occurrences of 'est',est,numeric
